Frame, Time (ms), Delta (ms) , Memory (mb)
  212,1012.040, 4.684,5765
  213,1016.733, 4.693,5765
  214,1021.402, 4.669,5765
  215,1026.196, 4.794,5765
  216,1030.935, 4.739,5765
  217,1035.644, 4.709,5765
  218,1040.334, 4.690,5765
  219,1045.140, 4.806,5765
  220,1049.871, 4.731,5765
  221,1054.577, 4.706,5765
  222,1059.357, 4.780,5765
  223,1064.011, 4.654,5765
  224,1068.782, 4.771,5765
  225,1073.491, 4.709,5765
  226,1078.257, 4.766,5765
  227,1082.949, 4.692,5765
  228,1087.637, 4.688,5765
  229,1092.467, 4.830,5765
  230,1097.207, 4.740,5765
  231,1101.931, 4.724,5765
  232,1106.636, 4.705,5765
  233,1111.458, 4.822,5765
  234,1115.997, 4.539,5765
  235,1120.623, 4.626,5765
  236,1125.382, 4.759,5765
  237,1130.052, 4.670,5765
  238,1134.686, 4.634,5765
  239,1139.451, 4.765,5765
  240,1144.060, 4.609,5765
  241,1148.830, 4.770,5765
  242,1153.569, 4.739,5765
  243,1158.276, 4.707,5765
  244,1162.950, 4.674,5765
  245,1167.864, 4.914,5765
  246,1172.480, 4.616,5765
  247,1177.168, 4.688,5765
  248,1181.786, 4.618,5765
  249,1186.585, 4.799,5765
  250,1191.182, 4.597,5765
  251,1195.832, 4.650,5765
  252,1200.531, 4.699,5765
  253,1205.281, 4.750,5765
  254,1209.878, 4.597,5765
  255,1214.642, 4.764,5765
  256,1219.314, 4.672,5765
  257,1224.040, 4.726,5765
  258,1228.941, 4.901,5765
  259,1233.686, 4.745,5765
  260,1238.301, 4.615,5765
  261,1243.040, 4.739,5765
  262,1247.662, 4.622,5765
  263,1252.346, 4.684,5765
  264,1256.964, 4.618,5765
  265,1261.668, 4.704,5765
  266,1266.359, 4.691,5765
  267,1271.037, 4.678,5765
  268,1275.747, 4.710,5765
  269,1280.343, 4.596,5765
  270,1285.012, 4.669,5765
  271,1289.701, 4.689,5765
  272,1294.444, 4.743,5765
  273,1299.173, 4.729,5765
  274,1303.784, 4.611,5765
  275,1308.487, 4.703,5765
