Frame, Time (ms), Delta (ms) , Memory (mb)
    1, 0.000, 0.000,2405
    2, 2.733, 2.733,5673
    3, 8.410, 5.677,5673
    4,12.289, 3.879,5673
    5,16.957, 4.668,5673
    6,21.800, 4.843,5673
    7,26.536, 4.736,5673
    8,31.295, 4.759,5673
    9,35.931, 4.636,5673
   10,40.815, 4.884,5673
   11,45.517, 4.702,5673
   12,50.613, 5.096,5673
   13,55.675, 5.062,5673
   14,60.300, 4.625,5673
   15,64.965, 4.665,5673
   16,69.786, 4.821,5673
   17,74.386, 4.600,5673
   18,79.571, 5.185,5673
   19,84.305, 4.734,5673
   20,89.297, 4.992,5673
   21,93.977, 4.680,5673
   22,98.869, 4.892,5673
   23,103.802, 4.933,5673
   24,108.423, 4.621,5673
   25,112.960, 4.537,5673
   26,117.825, 4.865,5673
   27,122.609, 4.784,5673
   28,127.446, 4.837,5673
   29,132.155, 4.709,5673
   30,136.937, 4.782,5673
   31,141.709, 4.772,5673
   32,146.403, 4.694,5673
   33,151.140, 4.737,5673
   34,155.853, 4.713,5673
   35,160.597, 4.744,5673
   36,165.560, 4.963,5673
   37,170.168, 4.608,5673
   38,175.198, 5.030,5673
   39,179.783, 4.585,5673
   40,184.536, 4.753,5673
   41,189.306, 4.770,5673
   42,194.098, 4.792,5673
   43,198.776, 4.678,5673
   44,203.615, 4.839,5673
   45,208.420, 4.805,5673
   46,213.265, 4.845,5673
   47,217.932, 4.667,5673
   48,222.807, 4.875,5673
   49,227.307, 4.500,5673
   50,232.164, 4.857,5673
   51,236.927, 4.763,5673
   52,241.640, 4.713,5673
   53,246.332, 4.692,5673
   54,251.202, 4.870,5673
   55,255.940, 4.738,5673
   56,260.748, 4.808,5673
   57,265.483, 4.735,5673
   58,270.474, 4.991,5673
   59,275.042, 4.568,5673
   60,279.897, 4.855,5673
   61,284.440, 4.543,5673
   62,289.280, 4.840,5673
   63,293.924, 4.644,5673
   64,298.784, 4.860,5673
   65,303.415, 4.631,5673
   66,308.260, 4.845,5673
   67,312.970, 4.710,5673
   68,317.827, 4.857,5673
   69,322.458, 4.631,5673
   70,327.159, 4.701,5673
   71,331.958, 4.799,5673
   72,336.683, 4.725,5673
   73,341.393, 4.710,5673
   74,346.225, 4.832,5673
   75,350.880, 4.655,5673
   76,355.821, 4.941,5673
   77,360.540, 4.719,5673
   78,365.397, 4.857,5673
   79,370.059, 4.662,5673
   80,374.724, 4.665,5673
   81,379.474, 4.750,5673
   82,384.363, 4.889,5673
   83,389.251, 4.888,5673
   84,393.865, 4.614,5673
   85,398.533, 4.668,5673
   86,403.414, 4.881,5673
   87,407.940, 4.526,5673
   88,412.822, 4.882,5673
   89,417.479, 4.657,5673
   90,422.298, 4.819,5673
   91,427.067, 4.769,5673
   92,431.837, 4.770,5673
   93,436.520, 4.683,5673
   94,441.500, 4.980,5673
   95,446.012, 4.512,5673
   96,450.847, 4.835,5673
   97,455.851, 5.004,5673
   98,460.558, 4.707,5673
   99,465.688, 5.130,5673
  100,471.004, 5.316,5673
  101,475.976, 4.972,5673
  102,480.659, 4.683,5673
  103,485.456, 4.797,5673
  104,490.067, 4.611,5673
  105,494.807, 4.740,5673
  106,499.517, 4.710,5673
  107,504.174, 4.657,5673
  108,509.028, 4.854,5673
  109,513.774, 4.746,5673
  110,518.718, 4.944,5673
  111,523.423, 4.705,5673
  112,528.264, 4.841,5673
  113,533.082, 4.818,5673
  114,537.681, 4.599,5673
  115,542.664, 4.983,5673
  116,547.257, 4.593,5673
  117,552.341, 5.084,5673
  118,557.092, 4.751,5673
  119,561.796, 4.704,5673
  120,566.636, 4.840,5673
  121,571.406, 4.770,5673
  122,576.575, 5.169,5673
  123,581.377, 4.802,5673
  124,586.068, 4.691,5673
  125,590.791, 4.723,5673
  126,595.707, 4.916,5673
  127,600.310, 4.603,5673
  128,605.152, 4.842,5673
  129,609.944, 4.792,5673
  130,614.859, 4.915,5673
  131,619.557, 4.698,5673
  132,624.471, 4.914,5673
  133,629.301, 4.830,5673
  134,633.933, 4.632,5673
  135,638.708, 4.775,5673
  136,643.331, 4.623,5673
  137,648.149, 4.818,5673
  138,652.762, 4.613,5673
  139,657.452, 4.690,5673
  140,662.287, 4.835,5673
  141,666.999, 4.712,5673
  142,671.839, 4.840,5673
  143,676.470, 4.631,5673
  144,681.326, 4.856,5673
  145,685.962, 4.636,5673
  146,690.701, 4.739,5673
  147,695.399, 4.698,5673
  148,700.264, 4.865,5673
  149,704.933, 4.669,5673
  150,709.855, 4.922,5673
  151,714.170, 4.315,5673
  152,719.014, 4.844,5673
  153,723.819, 4.805,5673
  154,728.493, 4.674,5673
  155,733.026, 4.533,5673
  156,738.020, 4.994,5673
  157,742.442, 4.422,5673
  158,747.205, 4.763,5673
  159,751.917, 4.712,5673
  160,756.608, 4.691,5673
  161,761.365, 4.757,5673
  162,766.137, 4.772,5673
  163,770.726, 4.589,5673
  164,775.526, 4.800,5673
  165,780.239, 4.713,5673
  166,785.012, 4.773,5673
  167,789.810, 4.798,5673
  168,794.588, 4.778,5673
  169,799.286, 4.698,5673
  170,804.154, 4.868,5673
  171,808.777, 4.623,5673
  172,813.717, 4.940,5673
  173,818.283, 4.566,5673
  174,822.997, 4.714,5673
  175,827.692, 4.695,5673
  176,832.369, 4.677,5673
  177,837.164, 4.795,5673
  178,841.804, 4.640,5673
  179,846.502, 4.698,5673
  180,851.333, 4.831,5673
  181,856.062, 4.729,5673
  182,860.831, 4.769,5673
  183,865.360, 4.529,5673
  184,870.179, 4.819,5673
  185,874.895, 4.716,5673
  186,879.565, 4.670,5673
  187,884.267, 4.702,5673
  188,889.136, 4.869,5673
  189,893.749, 4.613,5673
  190,898.469, 4.720,5673
  191,903.128, 4.659,5673
  192,908.062, 4.934,5673
  193,912.812, 4.750,5673
  194,917.597, 4.785,5673
  195,921.996, 4.399,5673
  196,926.625, 4.629,5673
  197,931.390, 4.765,5673
  198,936.230, 4.840,5673
  199,940.756, 4.526,5673
  200,945.545, 4.789,5673
  201,950.272, 4.727,5673
  202,954.969, 4.697,5673
  203,959.466, 4.497,5673
  204,964.363, 4.897,5673
  205,969.072, 4.709,5673
  206,973.795, 4.723,5673
  207,978.462, 4.667,5673
  208,983.240, 4.778,5673
  209,987.810, 4.570,5673
  210,992.767, 4.957,5673
  211,997.315, 4.548,5673
  212,1002.145, 4.830,5673
  213,1006.728, 4.583,5673
  214,1011.598, 4.870,5673
  215,1016.261, 4.663,5673
  216,1020.993, 4.732,5673
