TimeInSeconds,FrameTimeMs,FPS
2.29563,9.13,109.48
2.30476,10.05,99.52
2.31481,9.88,101.20
2.32469,8.91,112.25
2.33360,9.04,110.65
2.34264,9.23,108.40
2.35186,9.86,101.40
2.36172,10.22,97.89
2.37194,9.02,110.89
2.38096,8.66,115.43
2.38962,9.14,109.41
2.39876,9.12,109.66
2.40788,10.99,90.98
2.41887,8.94,111.88
2.42781,8.97,111.54
2.43678,9.01,110.98
2.44579,9.12,109.66
2.45491,10.27,97.34
2.46518,9.86,101.45
2.47504,8.71,114.79
2.48375,9.12,109.62
2.49287,9.10,109.83
2.50197,9.97,100.27
2.51195,9.86,101.46
2.52180,8.90,112.42
2.53070,9.43,106.05
2.54013,9.02,110.90
2.54915,10.94,91.38
2.56009,8.97,111.45
2.56906,8.82,113.42
2.57788,9.00,111.15
2.58688,9.06,110.43
2.59593,10.00,99.98
2.60593,9.10,109.93
2.61503,9.81,101.98
2.62484,9.33,107.23
2.63416,8.85,113.03
2.64301,10.30,97.04
2.65331,10.00,99.98
2.66332,9.69,103.18
2.67301,9.04,110.57
2.68205,9.16,109.19
2.69121,9.90,100.98
2.70111,8.91,112.29
2.71002,8.95,111.74
2.71897,10.25,97.55
2.72922,8.95,111.70
2.73817,11.23,89.06
2.74940,8.98,111.41
2.75838,8.64,115.77
2.76701,9.11,109.73
2.77613,8.98,111.34
2.78511,10.94,91.44
2.79604,9.11,109.81
2.80515,8.91,112.23
2.81406,9.32,107.31
2.82338,9.81,101.91
2.83319,10.22,97.81
2.84342,9.01,111.04
2.85242,8.75,114.31
2.86117,9.01,110.93
2.87019,9.01,110.93
2.87920,11.12,89.91
2.89032,8.90,112.40
2.89922,8.78,113.95
2.90800,9.60,104.15
2.91760,8.79,113.82
2.92638,10.19,98.13
2.93657,9.89,101.12
2.94646,8.78,113.95
2.95524,8.95,111.71
2.96419,9.20,108.73
2.97339,10.06,99.39
2.98345,9.93,100.66
2.99338,8.91,112.25
3.00229,9.16,109.16
3.01145,9.01,110.95
3.02047,9.15,109.27
3.02962,10.00,99.97
3.03962,9.72,102.90
3.04934,9.03,110.73
3.05837,9.10,109.87
3.06747,9.97,100.26
3.07744,9.07,110.25
3.08652,9.86,101.43
3.09637,9.22,108.44
3.10560,8.89,112.54
3.11448,10.25,97.53
3.12473,9.22,108.44
3.13396,9.54,104.82
3.14350,8.97,111.52
3.15246,9.04,110.57
3.16151,10.00,99.97
3.17151,9.89,101.15
3.18140,9.06,110.40
3.19045,9.23,108.38
3.19968,10.12,98.83
3.20980,9.03,110.73
3.21883,11.04,90.61
3.22987,8.82,113.35
3.23869,9.89,101.16
3.24857,9.06,110.32
3.25764,9.17,109.06
3.26681,9.89,101.14
3.27670,8.93,112.03
3.28562,10.15,98.53
3.29577,8.92,112.10
3.30469,9.39,106.49
3.31408,10.02,99.77
3.32410,9.71,102.94
3.33382,8.91,112.25
3.34273,9.01,110.99
3.35174,9.31,107.36
3.36105,9.85,101.55
3.37090,9.93,100.73
3.38083,9.18,108.91
3.39001,8.81,113.57
3.39881,9.45,105.85
3.40826,9.87,101.31
3.41813,9.55,104.76
3.42768,9.11,109.74
3.43679,9.19,108.77
3.44598,9.89,101.16
3.45587,8.98,111.34
3.46485,9.98,100.16
3.47483,9.36,106.89
3.48419,9.83,101.68
3.49402,9.45,105.85
3.50347,9.79,102.13
3.51326,8.64,115.76
3.52190,9.93,100.73
3.53183,9.19,108.78
3.54102,9.43,106.00
3.55046,9.67,103.38
3.56013,9.80,102.00
3.56993,9.21,108.53
3.57915,8.94,111.81
3.58809,9.51,105.15
3.59760,10.88,91.88
3.60849,8.52,117.32
3.61701,9.02,110.89
3.62603,9.01,110.93
3.63504,8.96,111.60
3.64400,10.10,99.00
3.65411,11.00,90.89
3.66511,8.20,122.02
3.67330,9.73,102.76
3.68303,9.36,106.88
3.69239,10.13,98.72
3.70252,8.59,116.38
3.71111,9.25,108.14
3.72036,9.74,102.67
3.73010,9.09,110.00
3.73919,9.99,100.11
3.74918,8.78,113.88
3.75796,10.21,97.93
3.76817,8.94,111.79
3.77712,9.40,106.38
3.78652,9.84,101.61
3.79636,9.67,103.45
3.80603,8.90,112.39
3.81492,9.16,109.14
3.82409,9.13,109.55
3.83322,9.94,100.57
3.84316,9.85,101.56
3.85301,9.27,107.91
3.86227,9.89,101.11
3.87216,9.19,108.75
3.88136,10.41,96.07
3.89177,8.47,118.05
3.90024,9.99,100.12
3.91023,9.14,109.37
3.91937,8.84,113.16
3.92821,10.10,99.02
3.93830,9.94,100.62
3.94824,9.29,107.62
3.95753,8.97,111.46
3.96651,10.11,98.89
3.97662,8.94,111.84
3.98556,9.76,102.50
3.99532,10.21,97.92
4.00553,8.85,112.99
4.01438,9.21,108.52
4.02359,8.67,115.28
4.03227,9.87,101.36
4.04213,10.24,97.61
4.05238,8.99,111.23
4.06137,9.28,107.81
4.07064,10.02,99.79
4.08066,9.69,103.18
4.09036,8.95,111.74
4.09930,9.22,108.41
4.10853,10.02,99.77
4.11855,9.01,110.98
4.12756,9.89,101.16
4.13745,9.17,109.05
4.14662,10.02,99.85
4.15663,9.38,106.60
4.16601,9.95,100.48
4.17597,9.68,103.26
4.18565,8.89,112.54
4.19454,10.01,99.89
4.20455,10.03,99.69
4.21458,9.06,110.35
4.22364,10.30,97.10
4.23394,9.93,100.75
4.24387,9.80,102.03
4.25367,9.30,107.53
4.26297,9.96,100.36
4.27293,10.91,91.65
4.28384,8.81,113.45
4.29265,9.09,110.04
4.30174,9.88,101.17
4.31163,9.09,110.04
4.32071,9.87,101.36
4.33058,10.32,96.88
4.34090,8.89,112.51
4.34979,10.18,98.25
4.35997,9.05,110.51
4.36902,9.68,103.33
4.37869,8.94,111.82
4.38764,9.96,100.37
4.39760,9.20,108.73
4.40680,8.96,111.63
4.41575,10.88,91.87
4.42664,9.13,109.47
4.43577,9.08,110.16
4.44485,10.25,97.59
4.45510,9.14,109.37
4.46424,10.57,94.63
4.47481,9.00,111.13
4.48381,9.40,106.38
4.49321,8.78,113.86
4.50199,9.97,100.35
4.51196,9.89,101.07
4.52185,10.18,98.24
4.53203,8.91,112.28
4.54094,9.48,105.45
4.55042,9.80,102.02
4.56022,9.75,102.60
4.56997,9.93,100.67
4.57990,9.13,109.57
4.58903,9.07,110.29
4.59810,8.86,112.92
4.60695,10.91,91.64
4.61786,9.21,108.54
4.62708,9.09,109.96
4.63617,9.35,106.94
4.64552,9.71,102.97
4.65523,9.73,102.77
4.66497,8.99,111.19
4.67396,10.22,97.81
4.68418,8.86,112.81
4.69305,9.19,108.79
4.70224,9.86,101.42
4.71210,10.06,99.36
4.72216,8.97,111.53
4.73113,10.54,94.87
4.74167,8.92,112.16
4.75059,9.91,100.88
4.76050,8.59,116.41
4.76909,10.04,99.62
4.77913,9.39,106.49
4.78852,9.67,103.42
4.79819,9.14,109.46
4.80732,9.26,108.04
4.81658,9.79,102.17
4.82637,9.09,109.97
4.83546,10.11,98.88
4.84557,8.71,114.80
4.85428,10.08,99.18
4.86437,9.05,110.55
4.87341,8.82,113.33
4.88224,9.88,101.25
4.89211,10.02,99.83
4.90213,9.31,107.36
4.91144,9.07,110.29
4.92051,9.31,107.39
4.92982,9.62,103.97
4.93944,8.86,112.91
4.94830,9.92,100.82
4.95822,9.13,109.57
4.96734,9.03,110.70
4.97638,9.06,110.36
4.98544,9.84,101.63
4.99528,9.31,107.37
5.00459,8.80,113.64
5.01339,10.56,94.73
5.02395,8.99,111.26
5.03293,8.58,116.58
5.04151,9.89,101.09
5.05140,9.13,109.52
5.06053,9.85,101.52
5.07039,9.21,108.62
5.07959,8.91,112.21
5.08850,10.09,99.11
5.09859,8.80,113.60
5.10739,9.36,106.79
5.11676,8.87,112.78
5.12563,8.87,112.68
5.13450,9.85,101.49
5.14435,9.16,109.17
5.15351,8.95,111.70
5.16247,8.90,112.41
5.17136,8.87,112.79
5.18023,10.66,93.79
5.19089,8.69,115.09
5.19958,9.12,109.66
