TimeInSeconds,FrameTimeMs,FPS
0.00000,9.18,108.98
0.00918,8.98,111.34
0.01816,9.07,110.31
0.02722,9.35,106.90
0.03658,8.56,116.77
0.04514,11.92,83.86
0.05707,6.04,165.63
0.06310,9.10,109.86
0.07221,9.70,103.08
0.08191,11.22,89.16
0.09312,9.10,109.85
0.10223,7.09,141.13
0.10931,9.16,109.12
0.11848,8.89,112.54
0.12736,11.95,83.69
0.13931,5.94,168.47
0.14525,9.97,100.34
0.15521,9.92,100.77
0.16514,8.80,113.64
0.17394,9.49,105.35
0.18343,8.86,112.87
0.19229,9.16,109.13
0.20145,12.05,82.99
0.21350,6.11,163.57
0.21962,8.46,118.21
0.22807,9.07,110.28
0.23714,9.31,107.45
0.24645,9.87,101.33
0.25632,8.95,111.67
0.26527,8.16,122.50
0.27344,9.90,100.97
0.28334,8.43,118.58
0.29177,8.71,114.78
0.30049,9.24,108.27
0.30972,8.59,116.35
0.31832,9.06,110.37
0.32738,8.92,112.11
0.33630,9.03,110.71
0.34533,9.19,108.76
0.35452,8.84,113.06
0.36337,9.08,110.14
0.37245,9.19,108.87
0.38163,9.05,110.53
0.39068,9.27,107.91
0.39995,9.52,105.07
0.40946,8.11,123.33
0.41757,8.88,112.62
0.42645,8.84,113.18
0.43529,9.05,110.55
0.44433,9.17,109.05
0.45350,10.08,99.20
0.46358,8.13,123.06
0.47171,9.22,108.52
0.48092,9.90,101.02
0.49082,8.68,115.26
0.49950,8.08,123.79
0.50758,9.32,107.27
0.51690,8.71,114.84
0.52561,9.82,101.79
0.53543,9.23,108.31
0.54467,9.07,110.26
0.55374,10.00,99.99
0.56374,9.07,110.21
0.57281,8.00,124.98
0.58081,8.88,112.64
0.58969,8.80,113.59
0.59849,8.96,111.64
0.60745,9.06,110.42
0.61651,8.90,112.37
0.62541,10.67,93.75
0.63607,8.67,115.31
0.64474,9.02,110.89
0.65376,9.08,110.14
0.66284,8.98,111.33
0.67182,8.92,112.09
0.68075,10.00,100.03
0.69074,9.21,108.57
0.69995,8.69,115.07
0.70864,9.72,102.89
0.71836,7.97,125.40
0.72634,9.22,108.41
0.73556,9.35,106.99
0.74491,9.14,109.38
0.75405,9.04,110.59
0.76309,8.35,119.79
0.77144,9.17,109.01
0.78062,8.87,112.73
0.78949,9.29,107.65
0.79878,8.97,111.49
0.80774,9.97,100.29
0.81772,8.13,122.96
0.82585,9.79,102.16
0.83564,8.09,123.58
